stop_id,stop_code,stop_name,stop_lat,stop_long
742,CTA1564,République Trélazé,,
743,CTA2207,St Lézin,,
744,CTA53,Trélazé,,
745,CTA2206,Village Santé,,
747,CTA150,Dionnière,,
748,CTA2432,Ecole de Villevêque,,
750,CTA1237,La Barre Villevêque,,
751,CTA1161,Lotissement,,
752,CTA1160,Mairie de Villevèque,,
754,CTA1163,Touraine,,
